Code,Area,Year,Measure,Value,
E09000027,Richmond upon Thames,Year ending Sep 2003,Median,"266,000",
E09000028,Southwark,Year ending Sep 2003,Median,"200,000",
E09000029,Sutton,Year ending Sep 2003,Median,"172,500",
E09000030,Tower Hamlets,Year ending Sep 2003,Median,"208,500",
E09000031,Waltham Forest,Year ending Sep 2003,Median,"167,000",
E09000032,Wandsworth,Year ending Sep 2003,Median,"240,000",
E09000033,Westminster,Year ending Sep 2003,Median,"325,000",
E12000001,North East,Year ending Sep 2003,Median,"72,000",
E12000002,North West,Year ending Sep 2003,Median,"80,000",
E12000003,Yorkshire And The Humber,Year ending Sep 2003,Median,"82,500",
E12000004,East Midlands,Year ending Sep 2003,Median,"99,950",
E12000005,West Midlands,Year ending Sep 2003,Median,"103,000",
E12000006,East of England,Year ending Sep 2003,Median,"140,000",
E12000007,London,Year ending Sep 2003,Median,"195,000",
E12000008,South East,Year ending Sep 2003,Median,"165,000",
E12000009,South West,Year ending Sep 2003,Median,"139,950",
E92000001,England,Year ending Sep 2003,Median,"127,000",
W92000019,Wales,Year ending Sep 2003,Median,"82,500",
K04000016,England And Wales,Year ending Sep 2003,Median,"125,000",
E09000001,City of London,Year ending Dec 2003,Median,"285,000",
E09000002,Barking and Dagenham,Year ending Dec 2003,Median,"140,000",
E09000003,Barnet,Year ending Dec 2003,Median,"233,000",
E09000004,Bexley,Year ending Dec 2003,Median,"163,000",
E09000005,Brent,Year ending Dec 2003,Median,"210,000",
E09000006,Bromley,Year ending Dec 2003,Median,"205,000",
E09000007,Camden,Year ending Dec 2003,Median,"273,000",
E09000008,Croydon,Year ending Dec 2003,Median,"172,000",
E09000009,Ealing,Year ending Dec 2003,Median,"210,000",
E09000010,Enfield,Year ending Dec 2003,Median,"180,000",
E09000011,Greenwich,Year ending Dec 2003,Median,"169,995",
E09000012,Hackney,Year ending Dec 2003,Median,"195,000",
E09000013,Hammersmith and Fulham,Year ending Dec 2003,Median,"280,000",
E09000014,Haringey,Year ending Dec 2003,Median,"192,500",
E09000015,Harrow,Year ending Dec 2003,Median,"230,000",
E09000016,Havering,Year ending Dec 2003,Median,"173,995",
E09000017,Hillingdon,Year ending Dec 2003,Median,"190,000",
E09000018,Hounslow,Year ending Dec 2003,Median,"200,000",
E09000019,Islington,Year ending Dec 2003,Median,"246,250",
E09000020,Kensington and Chelsea,Year ending Dec 2003,Median,"405,000",
E09000021,Kingston upon Thames,Year ending Dec 2003,Median,"215,195",
E09000022,Lambeth,Year ending Dec 2003,Median,"202,000",
E09000023,Lewisham,Year ending Dec 2003,Median,"165,000",
E09000024,Merton,Year ending Dec 2003,Median,"200,000",
E09000025,Newham,Year ending Dec 2003,Median,"173,000",
E09000026,Redbridge,Year ending Dec 2003,Median,"195,000",
E09000027,Richmond upon Thames,Year ending Dec 2003,Median,"265,000",
E09000028,Southwark,Year ending Dec 2003,Median,"208,500",
E09000029,Sutton,Year ending Dec 2003,Median,"175,000",
E09000030,Tower Hamlets,Year ending Dec 2003,Median,"211,000",
